INCIDENT_DATE,STATE,AIRPORT_ID,AIRPORT,OPID,OPERATOR,ATYPE,TYPE_ENG,SPECIES_ID,SPECIES,DAMAGE,COST_REPAIRS,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,NUM_ENGS,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,REG,FLT,REMAINS_COLLECTED,REMAINS_SENT,INCIDENT_MONTH,INCIDENT_YEAR,TIME_OF_DAY,TIME,FAAREGION,ENROUTE,RUNWAY,LOCATION,HEIGHT,SPEED,DISTANCE,PHASE_OF_FLT,STR_RAD,DAM_RAD,STR_WINDSHLD,DAM_WINDSHLD,STR_NOSE,DAM_NOSE,STR_ENG1,DAM_ENG1,STR_ENG2,DAM_ENG2,STR_ENG3,DAM_ENG3,STR_ENG4,DAM_ENG4,INGESTED,STR_PROP,DAM_PROP,STR_WING_ROT,DAM_WING_ROT,STR_FUSE,DAM_FUSE,STR_LG,DAM_LG,STR_TAIL,DAM_TAIL,STR_LGHTS,DAM_LGHTS,STR_OTHER,DAM_OTHER,OTHER_SPECIFY,EFFECT,EFFECT_OTHER,SKY,PRECIP,BIRDS_SEEN,BIRDS_STRUCK,SIZE,WARNED,COMMENTS,REMARKS,AOS,COST_OTHER,COST_REPAIRS_INFL_ADJ,COST_OTHER_INFL_ADJ,REPORTED_NAME,REPORTED_TITLE,REPORTED_DATE,SOURCE,PERSON,NR_INJURIES,NR_FATALITIES,LUPDATE,TRANSFER,INDICATED_DAMAGE
8/4/13 0:00,CA,KSFO,SAN FRANCISCO INTL ARPT,TRS,AIRTRAN AIRWAYS,B-737-700,D,UNKB,Unknown bird,N,,148,42,10,1,A,4,2,1,1,,,,710,FALSE,FALSE,8,2013,Night,8,AWP,,1R,,0,,0,Take-off run,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,PART NOT REPTD,,,,,,1,,,EVENT # xxxxxx,TRS710 REPTD A BIRDSTRIKE DURING T/O ROLL ON RWY 1R. NO DMG REPTD.,,,,,Deleted,Deleted,,Daily Report,,,,11/21/13 0:00,FALSE,FALSE
8/3/13 0:00,CA,KSFO,SAN FRANCISCO INTL ARPT,UAL,UNITED AIRLINES,B-747-400,D,UNKB,Unknown bird,S,,148,34,34,46,A,5,4,1,1,1,1,N197UA,863,FALSE,FALSE,8,2013,Day,,AWP,,,,0,180,0,Take-off run,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Precautionary Landing,,Some Cloud,None,,1,,,"SOURCE = TWO xxxx-x (xxxx-x-x-xxxxxx, x-x-xxxxxx), ASRS xxxxxxx (x/xx/xx UPDATED WITH ASRS)","AIRSPEED (180) ESTIMATED FROM REPORT OF STRIKE OCCURING AT/NEAR VR. ENG VIBRATION DURING CLIMB. PERFORMED ATB. 2 FAN BLADES DAMAGED, 3 BLADES REPLACED AND A/C RETURNED TO SERVICE. (DATA ENTRY NOTE: ONE REPORT HAD INCORRECT DATE OF 8/4. STRIKE ALT WAS REPTD AS 1000 FEET BY ARPT SFTY OFFICER WHO ALSO ADDED ROTATION OR CLIMBOUT AND 0 FEET BY ENG MANU, ASRS SHOWS TAKEOFF)A/C CLIMBED TO FL220 AND DUMPED 220,000 LBS OF FUEL WHILE HOLDING OVER THE INTERSECTION.",50,,,,Deleted,Deleted,,Multiple,Airport Operations,,,6/12/14 0:00,FALSE,TRUE
7/25/13 0:00,CA,KSFO,SAN FRANCISCO INTL ARPT,UNK,UNKNOWN,UNKNOWN,,K3302,Red-tailed hawk,,,,,,,,,,,,,,,,TRUE,TRUE,7,2013,,,AWP,,1L,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Medium,,"SOURCE = TWO xxxx-x (xxxx-x-xx-xxxxxx, Rx)","ID BY SMITHSONIAN. SFO ATCT ADVISED OF MULTIPLE BIRD STIGHITNG AT 0749 AND 0810 AT THE DEPT END OF RWY 1'S AND APRCH END OF RWY 28.'S BIRD REMAINS FOUND AT 0844, APPROX 90 FEET FROM C/L OF RWY 1L BTWN RWY 28'S. NO STRIKE REPTD.",,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,9/26/13 0:00,FALSE,FALSE
7/15/13 0:00,CA,KSFO,SAN FRANCISCO INTL ARPT,AAL,AMERICAN AIRLINES,B-767-300,D,Y,Perching birds (y),N,,148,97,22,7,A,4,2,1,1,,,N39356,431,TRUE,TRUE,7,2013,Day,1100,AWP,,28R,,400,135,1,Approach,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,,None,2 to 10,1,Small,,"SOURCE = THREE xxxx-x (xxxx-x-xx-xxxxxx, x-xx-xxxxxx, Rx)","ID BY SMITHSONIAN. UNDETERMINED SPECIES OF PASSERINE. INSUFFICIENT DIAGNOSTIC DNA OR FEATHER FOR MORE SPECIFIC ID. 2 SMALL BLACK BIRDS FLEW ACROSS OUR FLT PATH AT ABOUT 400 AGL ON FINAL, JUST OVER A MILE FROM THRESHOLD OF 28R. HEARD 1 STRIKE FUSELAGE JUST ABOVE CO/P'S FWD WINDOW. NO CHANGE IN ENG SOUNDS OF FLT CONTROLS NOTED, SO LDG CONTD NORMALLY. NO DMG REPTD.",,,,,Deleted,Deleted,,FAA Form 5200-7-E,Pilot,,,9/26/13 0:00,FALSE,FALSE
7/15/13 0:00,CA,KSFO,SAN FRANCISCO INTL ARPT,AAL,AMERICAN AIRLINES,B-737-800,D,YI,Swallows,N,,148,43,10,1,A,4,2,1,1,,,N913AN,2028,FALSE,FALSE,7,2013,Day,1215,AWP,,1R,,0,85,0,Take-off run,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,None,1,1,Small,N,xxxx-x-xx-xxxxxx,"NO DMG OR MARKS. DATA ENTRY NOTE: # STRUCK NOT REPTD, ASSUME 1, SAME AS # SEEN.",,,,,Deleted,Deleted,,FAA Form 5200-7-E,Pilot,,,9/26/13 0:00,FALSE,FALSE
7/3/13 0:00,CA,KSFO,SAN FRANCISCO INTL ARPT,UAL,UNITED AIRLINES,A-320,D,R1101,Barn owl,N,,04A,3,23,1,A,4,2,1,1,,,N454UA,736,TRUE,FALSE,7,2013,Night,2146,AWP,,1R,,0,120,0,Take-off run,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,None,,1,Small,,SOURCE = xxxx-x (xxxx-x-x-xxxxxx) & DAILY REPORT EVENT xxxxxx,"ACCORDING TO FORM 5200-7 FILED BY AIRFIELD SAFETY, THE PILOT REPTD BIRD STRUCK WING. NO DMG. FLT CONTD TO EWR. THE DAILY REPORT SAID THE BIRD HIT ABOVE WINDSCREEN.",,,,,Deleted,Deleted,,Multiple,Tower,,,9/26/13 0:00,FALSE,FALSE
6/14/13 0:00,CA,KSFO,SAN FRANCISCO INTL ARPT,AAL,AMERICAN AIRLINES,B-767-300,D,UNKBS,Unknown bird - small,N,,148,97,22,7,A,4,2,1,1,,,,451,TRUE,FALSE,6,2013,Day,900,AWP,,28L,,1000,141,4,Approach,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,None,,1,Small,,xxxx-x-xx-xxxxxx,"DURING WALKAROUND, FOUND A SMALL BIRD BTWN THE TWO FRWD WHEELS OF THE RMLG. FINAL APRCH.",,,,,Deleted,Deleted,,FAA Form 5200-7-E,Pilot,,,7/25/13 0:00,FALSE,FALSE
6/7/13 0:00,CA,KSFO,SAN FRANCISCO INTL ARPT,UAL,UNITED AIRLINES,B-737-700,D,J2109,Mallard,N,,148,42,10,1,A,4,2,1,1,,,N16709,103,TRUE,TRUE,6,2013,Day,1036,AWP,,28R,,0,,0,Landing Roll,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,None,1,1,Medium,N,"SOURCE = DAILY REPORT, THREE xxxx-x (xxxx-x-x-xxxxxx, Rx, Rx)","ID BY SMITHSONIAN. TWR REPT: UAL103 INGESTED A SEAGULL IN THE #2 ENGINE ON TOUCHDOWN. RWY 28R AT 071036PDT. AIRCRAFT TAXIED TO THE GATE WITH NO REPORTED DAMAGE. ARFLD SAFETY REPORT: UAL MECHANIC ADVISED THAT UPON WALK AROUND HE OBSERVED REMAINS OF WHAT APPEARED TO BE FROM A GULL IN THE #2 E3NGINE OF UAL FLT 103. FLT ORIGINATED FROM KDCA AND LANDED RWY 28R. MECHANIC ADVISED THAT REMAINS DID NOT GO THROUGH THE CORE AND THAT HE DID NOT HAVE TO BORESCOPE THE ENGINE. NO DMG WAS REPORTED AT TIME OF THIS REPORT. REMAINS CLEANED OFF FAN BLADES. SAMPLE SENT TO SMITHSONIAN. UPON MY ARRIVAL, FLT CRW HAD DEPARTED.",,,,,Deleted,Deleted,,Multiple,Tower,,,8/7/13 0:00,FALSE,FALSE
5/11/13 0:00,CA,KSFO,SAN FRANCISCO INTL ARPT,SWA,SOUTHWEST AIRLINES,B-737-700,D,UNKBM,Unknown bird - medium,N,,148,42,10,1,A,4,2,1,1,,,N901WN,43,FALSE,FALSE,5,2013,Night,2300,AWP,,28L,,10000,250,35,Descent,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,None,1,1,Medium,N,xxxx-x-xx-xxxxxx,LOCATION REPTD AS 35NM SSW KSFO.,,500,,513,Deleted,Deleted,,FAA Form 5200-7-E,Pilot,,,6/27/13 0:00,FALSE,FALSE
5/7/13 0:00,CA,KSFO,SAN FRANCISCO INTL ARPT,ASA,ALASKA AIRLINES,B-737-400,D,N6201,Red-necked phalarope,M?,,148,32,10,1,A,4,2,1,1,,,N754AS,235,TRUE,TRUE,5,2013,Night,2140,AWP,,,,,,,Climb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,#1 ENG COWLING,None,,,,1,2 to 10,Small,,"SOURCE = TWO xxxx-x (xxxx-x-x-xxxxxx, Rx) (x/x/xx UPDATED SPECIES CODE)","ID BY SMITHSONIAN. PILOT REPTD A POSSIBLE BIRDSTRIKE AT 2140HRS, 20 MINUTES AFTER DEPARTING KSFO. DENT FOUND ON L/E OF #1 ENG COWLING. FEATHERS RETRIEVED FROM UNDER THE FAN COWLING. ONE BLOOD SMEAR FOUND GOING INTO THE ENG. ANY BIRD PARTS THAT WENT INTO THE ENG WENT THROUGH THE BYPASS AND DID NOT DMG THE ENG, JUST THE LEADING COWLING. DENT FOUND ON THE L/E OF THE LT SIDE HORIZONTAL STABILIZER. NO BLOOD OR FEATHERS AT THIS SITE. LIKELY THAT THE A/C HIT MULITPLE BIRDS, I THINK 2, ONE FOR THE ENG DMG AND ONE FOR THE HORIZONTAL STABILIZER DMG. OUT OF SERVICE AND COST OF REPAIRS STILL PENDING AS OF 0937PDT. THE #1 ENG NOSE COWL WAS REPLACED AND A REPAIR TO THE L/H STAB L/E. A/C OUT OF SERVICE 2.5 DAYS.",60,,,,Deleted,Deleted,,FAA Form 5200-7-E,Airport Operations,,,7/1/13 0:00,FALSE,TRUE
